,store,address
143,포이점,"서울특별시 서초구 마방로10길 18-1, 1층(양재동, 남광빌딩) "
144,수서로즈데일점,"서울특별시 강남구 광평로 280, 지하2층 121호(수서동, 로즈데일오피스텔) "
145,수서역점,"서울특별시 강남구 광평로51길 8, 지상1층 113호(수서동, 로얄프라자) "
146,양재일동제약점,"서울 서초구 바우뫼로 147, 스카이뷰빌딩 1층 "
147,가락시장역점,"서울특별시 송파구 송파대로 260, 1층 105호(가락동, 제일오피스텔) "
148,시흥동점,"서울특별시 금천구 금하로 747-1, 1층 일부(시흥동, 리빙스턴하우스) "
149,양재산기협점,"서울특별시 서초구 바우뫼로37길 36, 1층(양재동) "
150,경찰병원점,"서울특별시 송파구 송파대로28길 43, 1층 102호(가락동) "
151,광명에이스점,"경기도 광명시 하안로 108, A동 1층 103호(소하동, 에이스 광명타워) "
152,양재동점,"서울특별시 서초구 남부순환로356길 26, 1층 102호(양재동) "
153,매봉역점,"서울특별시 강남구 남부순환로378길 8, 1층(도곡동) "
154,양재역점,"서울특별시 강남구 남부순환로359길 12, 1층 101호(도곡동, 항덕빌딩) "
155,송파헬리오시티점,"서울특별시 송파구 송파대로 345, 001A동 1001호(가락동, 헬리오시티) "
156,시흥대교점,"서울특별시 금천구 금하로 601, 1층 101호(시흥동) "
157,사당점,"서울특별시 관악구 과천대로 953, 1층(남현동) "
158,서초쌍용플래티넘점,"서울특별시 서초구 서초중앙로 18, 113호(서초동, 서초쌍용플래티넘) "
159,대구신서혁신점,"대구광역시 동구 과학로 23, 상가1동 105호(각산동, 대구신서혁신엘에치천년나무6단지) "
160,오금역점,"서울 송파구 오금로 307, 르네상스빌아파트 1층 101호 "
161,서초서일점,"서울특별시 서초구 효령로68길 59, 1층(서초동) "
162,서초효령로점,"서울특별시 서초구 명달로 58, 1층 102호(서초동) "
163,남부터미널역점,"서울특별시 서초구 효령로53길 18, 1층 114호(서초동, 석탑오피스텔) "
164,뱅뱅사거리점,"서울특별시 강남구 강남대로62길 11, 1층(역삼동) "
165,송도스마트밸리점,"인천광역시 연수구 송도미래로 30, E동 2층 204-1호(송도동, 송도 BRC 스마트밸리 지식산업센터) "
166,서초센트럴점,"서울특별시 서초구 반포대로18길 36, 1층 107호(서초동, 서초센트럴IPARK) "
167,금천롯데캐슬2차점,"서울특별시 금천구 벚꽃로 30, 205동 1층 108호(독산동, 금천 롯데캐슬 골드파크 2차) "
168,강남효성해링턴점,"서울특별시 서초구 강남대로51길 10, 1층 106호(서초도으 강남효성해링턴타워) "
169,서울교대정문점,"서울 서초구 사임당로 60, 1층 일부 "
170,서초점,"서울특별시 서초구 서초대로40길 88, 103호 (서초동) "
171,대치점,"서울특별시 강남구 도곡로 442, 1층 104호(대치동, 진흥빌딩) "
172,신림대학점,"서울특별시 관악구 호암로26길 1, 1층 1호(신림동) "
173,서역삼로점,"서울 강남구 역삼로 166, 1층  "
174,강남1호점,"서울특별시 강남구 역삼로 113, 1층 102호(역삼동) "
175,이수역점,"서울특별시 서초구 서초대로 12, 101동 104호(방배동, 세양아르비채) "
176,남성점,"서울특별시 동작구 사당로16길 12, 1층(사당동) "
177,관악구청점,"서울특별시 관악구 관악로11길 17, 1층 104호(봉천동, 연빌딩) "
178,교대후문점,"서울특별시 서초구 서초대로54길 33, 1층(서초동) "
179,강남서초점,"서울특별시 서초구 서초대로78길 30, 1층 1호(서초동) "
